ID,USER_NAME,OP_VALUE,OPKEY
90,SYSTEM,AA,serial.Promissory
91,SYSTEM,false,currencyAlertPopup.isVisible
92,SYSTEM,GF,serial.expenseNote
93,SYSTEM,false,organizationSchemeOption.UseScheme
94,SYSTEM,Merkez,organizationLevelOption.value.Contact
95,SYSTEM,Şube,organizationLevelOption.value.Account
96,SYSTEM,Şube,organizationLevelOption.value.Warehouse
97,SYSTEM,Merkez,organizationLevelOption.value.BankBranch
98,SYSTEM,Merkez,organizationLevelOption.value.Personnel
99,SYSTEM,Merkez,organizationLevelOption.value.Provider
100,SYSTEM,Merkez,organizationLevelOption.value.Agent
101,SYSTEM,Merkez,organizationLevelOption.value.Customer
102,SYSTEM,NoControl,systemSettings.control.StockLevel
103,SYSTEM,NoControl,systemSettings.control.AccountLevel
104,SYSTEM,NoControl,systemSettings.control.ContactRiskLimit
105,SYSTEM,NoControl,systemSettings.control.ContactCreditLimit
106,SYSTEM,NoControl,systemSettings.control.StockShelfLife
107,SYSTEM,NoControl,systemSettings.control.PriceChangeControl
108,SYSTEM,2.1.0,base.programVersion
109,SYSTEM,false,base.isUnderConstruction
110,SYSTEM,MK,serial.cards.Expense
111,SYSTEM,IK,serial.cards.Discount
112,SYSTEM,pos1,systemSettings.control.DefaultPos
113,SYSTEM,MERKEZ,systemSettings.control.DefaultAccount
114,SYSTEM,/\\/hostname/\\pos,systemSettings.control.DefaultPosPrinter
115,SYSTEM,/\\/hostname/\\barcode,systemSettings.control.DefaultBarcodePrinter
116,SYSTEM,B1,serial.stock.Barcode
117,SYSTEM,0.09,systemSettings.control.MaxRoundingAmount
118,SYSTEM,MERKEZ,systemSettings.control.DefaultWarehouse
119,SYSTEM,GGC,systemSettings.value.GeneralExpenseContact
120, SYSTEM,SF,serial.countNote
121, SYSTEM,true,SerialNumber.isEditable
122, SYSTEM,NoControl,systemSettings.control.SaleInvoiceZeroLineAmount
123, SYSTEM,NoControl,systemSettings.control.PurchaseInvoiceZeroLineAmount
124, SYSTEM,NoControl,systemSettings.control.SaleShipmentZeroLineAmount
125, SYSTEM,NoControl,systemSettings.control.PurchaseShipmentZeroLineAmount
126, SYSTEM,NoControl,systemSettings.control.SaleOrderZeroLineAmount
127, SYSTEM,NoControl,systemSettings.control.PurchaseOrderZeroLineAmount
128, SYSTEM,NoControl,systemSettings.control.SaleTenderZeroLineAmount
129, SYSTEM,NoControl,systemSettings.control.PurchaseTenderZeroLineAmount
130, SYSTEM,8000.00,systemSettings.control.MaxPaymentAmount
131, SYSTEM,PI,serial.proformaInvoice.Sale
132, SYSTEM,TL,systemOption.CurrencyCode
133, SYSTEM,KR,systemOption.CurrencydecCode
134, SYSTEM,TÜRKİYE,systemOption.CountryName
135, SYSTEM,90,systemOption.CountryCode
136, SYSTEM,TR,systemOption.CountryShortName
137, SYSTEM,tr_TR,systemOption.Locale
138,SYSTEM,Telefon,company.Phone
139,SYSTEM,Fax,company.Fax
140,SYSTEM,E-Posta,company.Email
141,SYSTEM,Web,company.Web
142,SYSTEM,true,systemSettings.foreignInvoicingEnabled
1000,tezgahtar,pos2,systemSettings.control.DefaultPos
1001,tezgahtar,kasa2,systemSettings.control.DefaultAccount 
1002,tezgahtar,posprinter2,systemSettings.control.DefaultPosPrinter 
1003,tezgahtar,barcprinter2,systemSettings.control.DefaultBarcodePrinter 
1004,tekir,GGC,systemSettings.value.GeneralExpenseContact 
